id,title,price,currency_id,available_quantity,sold_quantity,condition,category_id,permalink
MLA1480188801,Tv Box 4k Hdmi Android  --el Más Rápido--,70000,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1480188801-tv-box-4k-hdmi-android-el-mas-rapido--_JM
MLA1480178625,"Google Home Mini, Muy Buen Estado, Anda Perfecto. Leer!!!",79800,ARS,,,used,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1480178625-google-home-mini-muy-buen-estado-anda-perfecto-leer-_JM
MLA1476074197,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,147490,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1476074197-google-chromecast-4k-chromecast-with-google-tv-ga01919-us-de-voz-4-generacion-4k-8gb-sky-con-2gb-de-memoria-ram-_JM
MLA1414122791, Apple Tv A1427 Negro - 1080p Full Hd,120000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1414122791-apple-tv-a1427-negro-1080p-full-hd-_JM
MLA1452835293,Watch Onn Fhd Streaming Stick 2da Gen Full Hd 1.5gb Ram 8gb,98999.99,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1452835293-watch-onn-fhd-streaming-stick-2da-gen-full-hd-15gb-ram-8gb-_JM
MLA1995130936,Amazon Fire Tv Stick Hd 2024 Control De Voz 8gh Wifi 5 Nuevo,69400,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1995130936-amazon-fire-tv-stick-hd-2024-control-de-voz-8gh-wifi-5-nuevo-_JM
MLA2017715088,Watch Om Tv Stick Convertidor Smart Tv 8gb 128gb Google Tv Negro Estándar,59990,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2017715088-watch-om-tv-stick-convertidor-smart-tv-8gb-128gb-google-tv-negro-estandar-_JM
MLA1465489187,Amazon Fire Tv Stick 4k Fire Tv Stick 4k 53-008355 Pilas 4k Negro,95000,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1465489187-amazon-fire-tv-stick-4k-fire-tv-stick-4k-53-008355-pilas-4k-negro-_JM
MLA1904940598,Apple Tv 4k 64 Gb Negro Con Memoria Ram De 3 Gb A1842,220000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1904940598-apple-tv-4k-64-gb-negro-con-memoria-ram-de-3-gb-a1842-_JM
MLA1445793563,Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 64 Gb,150000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1445793563-apple-tv-hd-a1625-de-voz-4-generacion-2015-full-hd-64-gb-_JM
MLA2012239414,Tv Box Watch Onn 4k Chromecast Solucionado Ubicación Negro Estándar,111489,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2012239414-tv-box-watch-onn-4k-chromecast-solucionado-ubicacion-negro-estandar-_JM
MLA2013301408,Amazon Lite Fire Tv Stick B091g4yp57 De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,59799.0,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2013301408-amazon-lite-fire-tv-stick-b091g4yp57-de-voz-full-hd-8gb-negro-con-1gb-de-memoria-ram-_JM
MLA2026656856,Fire Tv Stick 4k Con Controles De Alexa Y Amazon Black Tv,89999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2026656856-fire-tv-stick-4k-con-controles-de-alexa-y-amazon-black-tv-_JM
MLA1822817324,Apple Tv A1427  3.ª Generación Full Hd 8gb Negro,39000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1822817324-apple-tv-a1427-3-generacion-full-hd-8gb-negro-_JM
MLA1400506527,Google Home Mini Multi-room Google Assistant Refabricado,84990,ARS,,,new,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1400506527-google-home-mini-multi-room-google-assistant-refabricado-_JM
MLA1856299012,Amazon Fire Tv Stick 4k Comando De Voz Streaming,96000,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1856299012-amazon-fire-tv-stick-4k-comando-de-voz-streaming-_JM
MLA1449892657,Amazon Tv Stick Lite 2da Gen Streaming Full Hd,80980.0,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1449892657-amazon-tv-stick-lite-2da-gen-streaming-full-hd-_JM
MLA1984710792,Tv Stick Xiaomi Mi Tv 4k Hdmi Android 11 Sin Cargador,125299.0,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1984710792-tv-stick-xiaomi-mi-tv-4k-hdmi-android-11-sin-cargador-_JM
MLA1807784940,Google Home Mini Con Asistente Virtual,99000,ARS,,,used,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1807784940-google-home-mini-con-asistente-virtual-_JM
MLA1781884668, Apple Tv A1427 2.ª Generación ,37081.98,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1781884668-apple-tv-a1427-2-generacion-_JM
MLA2029390910,Onn Google Tv Fhd Streaming Stick 2da Gen 8gb M4gistv,90000,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2029390910-onn-google-tv-fhd-streaming-stick-2da-gen-8gb-m4gistv-_JM
MLA1938425710,Apple Tv 3,38000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1938425710-apple-tv-3-_JM
MLA1464550035,Apple Tv A1427 Estándar 3.a Generación,25000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1464550035-apple-tv-a1427-estandar-3a-generacion-_JM
MLA1877356464,Apple Tv 2 3.ª Gen. Full Hd 1gb Ram 8gb.,45000,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1877356464-apple-tv-2-3-gen-full-hd-1gb-ram-8gb-_JM
MLA1908499690,Amazon Tv Stick Lite 2da Gen Streaming Full Hd,80980.0,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1908499690-amazon-tv-stick-lite-2da-gen-streaming-full-hd-_JM
