Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,Aruba,ITU.DDD.23,Mobile broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,1.4,1.4,1.2,1.2,1.4,
ABW,Aruba,ITU.DDD.25,Mobile data and voice basket (high consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,1.7,1.7,1.5,1.4,1.8,
AFG,Afghanistan,ITU.DDD.1,Active mobile-broadband subscriptions per 100 inhabitants,Actual,-,-,-,0.0,,,1.2,3.1,5.7,13.5,16.0,19.1,19.4,19.0,18.5,55.5,
AFG,Afghanistan,ITU.DDD.10,Households with a computer at home (%),Actual,-,-,-,,,,,,11.3,,,,,,,,
AFG,Afghanistan,ITU.DDD.14,Individuals owning a mobile phone (%),Actual,-,-,-,,,,,,,46.8,,,,,,,
AFG,Afghanistan,ITU.DDD.15,"Individuals using the Internet, total (%)",Estimate,-,-,-,4.0,5.0,5.5,5.9,7.0,8.3,11.0,13.5,16.8,17.6,,,,
AFG,Afghanistan,ITU.DDD.16,International bandwidth per Internet user (kbit/s),Actual,-,-,-,1773.7,2051.3,2407.0,4298.9,6549.8,13392.9,10892.4,9767.5,12195.1,14092.2,32048.7,,35361.5,
AFG,Afghanistan,ITU.DDD.23,Mobile broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,9.1,9.1,10.8,12.1,10.7,
AFG,Afghanistan,ITU.DDD.24,Mobile cellular basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,7.1,7.1,7.1,7.4,7.3,
AFG,Afghanistan,ITU.DDD.25,Mobile data and voice basket (high consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,21.8,21.8,26.3,21.5,21.1,
AFG,Afghanistan,ITU.DDD.26,Mobile data and voice basket (low consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,13.5,13.5,16.1,11.6,11.4,
AFG,Afghanistan,ITU.DDD.27,Mobile-cellular subscriptions per 100 inhabitants,Actual,-,-,-,36.2,47.2,50.4,53.3,56.3,58.4,62.4,67.1,59.9,59.8,58.2,56.6,55.5,
AFG,Afghanistan,ITU.DDD.28,Monthly fixed broadband Internet traffic per fixed broadband subscription (MB),Actual,-,-,-,,,,,,12722.7,13165.6,13425.5,12148.1,15085.5,11290.9,,,
AFG,Afghanistan,ITU.DDD.29,Monthly mobile broadband Internet traffic per mobile broadband subscription (MB),Actual,-,-,-,,,,,,,,584.8,731.9,1386.1,2077.5,,817.8,
AFG,Afghanistan,ITU.DDD.30,Population covered by a mobile-cellular network (%),Actual,-,-,-,,85.0,88.0,88.6,89.0,89.2,89.4,90.0,90.0,90.0,90.0,91.0,92.0,
AFG,Afghanistan,ITU.DDD.30,Population covered by a mobile-cellular network (%),Estimate,-,-,-,80.0,,,,,,,,,,,,,
AFG,Afghanistan,ITU.DDD.31,Population covered by at least a 3G mobile network (%),Actual,-,-,-,,,,28.0,35.0,32.0,24.0,46.0,55.0,57.0,57.0,58.0,,
AFG,Afghanistan,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Actual,-,-,-,,,,,,,0.0,4.0,7.0,22.0,26.0,26.0,,
AFG,Afghanistan,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Estimate,-,-,-,,,,,0.0,0.0,,,,,,,,
AFG,Afghanistan,ITU.DDD.33,Total fixed broadband subscriptions,Actual,-,-,-,,,,,,7067.0,8801.0,9182.0,15999.0,19683.0,26570.0,,,
AFG,Afghanistan,ITU.DDD.33,Total fixed broadband subscriptions,Estimate,-,-,-,1500.0,,1500.0,1500.0,1500.0,,,,,,,26570.0,,
AFG,Afghanistan,ITU.DDD.4,Fixed broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,15.1,15.1,15.2,15.2,15.0,
